interval_start,entity,low_senti,avg_senti,high_senti,num_datapoints
2019-05-30 22:23:00 UTC,Raptors,-0.7351,0.346,0.969,127
2019-05-30 22:30:00 UTC,Danny Green,0.3716,0.372,0.3716,1
2019-05-30 22:18:00 UTC,Draymond Green,-0.1513,0.444,0.6515,4
2019-05-30 22:00:00 UTC,Raptors,-0.7998,0.317,0.8955,93
2019-05-30 22:29:00 UTC,Golden State,-0.5267,0.339,0.8807,10
2019-05-30 22:14:00 UTC,Raptors,-0.7964,0.284,0.9077,90
2019-05-30 22:31:00 UTC,Klay Thompson,0.5106,0.559,0.7269,9
2019-05-30 22:07:00 UTC,Toronto,-0.8527,0.29,0.8858,47
2019-05-30 22:21:00 UTC,#Warriors,0.2023,0.568,0.7579,6
2019-05-30 22:04:00 UTC,Kevin Durant,0.6597,0.66,0.6597,2
2019-05-30 22:01:00 UTC,NBA Finals,-0.3976,0.375,0.9006,18
2019-05-30 22:01:00 UTC,#Raptors,-0.296,0.448,0.7449,7
2019-05-30 22:19:00 UTC,Klay Thompson,0.5859,0.656,0.7269,2
2019-05-30 22:27:00 UTC,NBA Finals,-0.4247,0.381,0.8225,19
2019-05-30 22:23:00 UTC,#WeTheNorth,-0.5106,0.463,0.8689,23
2019-05-30 22:02:00 UTC,#Team,-0.5411,-0.218,0.75,4
2019-05-30 22:17:00 UTC,#Team,-0.5411,-0.541,-0.5411,8
2019-05-30 22:14:00 UTC,NBA,-0.807,0.229,0.9077,116
2019-05-30 22:13:00 UTC,Klay Thompson,0.5106,0.619,0.7269,2
2019-05-30 22:12:00 UTC,NBA,-0.7703,0.246,0.8807,113
2019-05-30 22:02:00 UTC,Nick Nurse,0.34,0.34,0.34,1
2019-05-30 22:04:00 UTC,#NBAFinals,-0.5574,0.401,0.8126,38
2019-05-30 22:10:00 UTC,#WeTheNorth,-0.4767,0.538,0.8582,26
2019-05-30 22:06:00 UTC,#NBAFinals,-0.6239,0.439,0.8934,35
2019-05-30 22:17:00 UTC,Stephen Curry,0.34,0.34,0.34,1
2019-05-30 22:24:00 UTC,Danny Green,0.7184,0.718,0.7184,1
2019-05-30 22:11:00 UTC,Draymond Green,-0.6124,-0.612,-0.6124,1
