interval_start,entity,low_senti,avg_senti,high_senti,num_datapoints
2019-06-03 00:35:00 UTC,Jeremy Lin,0.3818,0.382,0.3818,1
2019-06-03 01:10:00 UTC,Jordan Bell,-0.1027,-0.103,-0.1027,1
2019-06-03 00:37:00 UTC,Jeremy Lin,0.3818,0.382,0.3818,1
2019-06-03 00:55:00 UTC,#StephCurry,0.743,0.743,0.743,1
2019-06-03 01:10:00 UTC,Jonas Jerebko,-0.34,0.137,0.7783,6
2019-06-03 00:50:00 UTC,#Dunk,-0.4404,-0.44,-0.4404,1
2019-06-03 01:13:00 UTC,#KevinDurant,0.5267,0.527,0.5267,1
2019-06-03 00:47:00 UTC,#StephCurry,0.304,0.381,0.4588,2
2019-06-03 00:21:00 UTC,#Hoops,0.2023,0.202,0.2023,1
2019-06-03 01:01:00 UTC,#KevinDurant,-0.2023,-0.202,-0.2023,1
2019-06-03 00:11:00 UTC,Jeremy Lin,0.4215,0.458,0.4939,2
2019-06-03 00:07:00 UTC,Damian Jones,0.5106,0.511,0.5106,1
2019-06-03 00:59:00 UTC,Alfonzo McKinnie,0.4926,0.493,0.4926,1
2019-06-03 00:55:00 UTC,Serge Ibaka,-0.5095,-0.233,0.509,6
2019-06-03 00:11:00 UTC,#StephCurry,-0.2263,-0.226,-0.2263,1
2019-06-03 00:52:00 UTC,Jonas Jerebko,-0.2411,-0.241,-0.2411,1
2019-06-03 00:52:00 UTC,#Player,0.807,0.807,0.807,1
2019-06-03 00:27:00 UTC,#KevinDurant,0.7253,0.725,0.7253,2
2019-06-03 00:45:00 UTC,Alfonzo McKinnie,0.6369,0.637,0.6369,1
2019-06-03 00:57:00 UTC,Serge Ibaka,0.6666,0.667,0.6666,1
2019-06-03 00:16:00 UTC,Jordan Bell,0.7717,0.772,0.7717,1
2019-06-03 00:45:00 UTC,#StephCurry,0.7707,0.771,0.7707,1
2019-06-03 00:41:00 UTC,#StephCurry,-0.34,-0.34,-0.34,1
2019-06-03 00:52:00 UTC,Serge Ibaka,0.6369,0.637,0.6369,1
2019-06-03 00:11:00 UTC,#Player,0.8519,0.852,0.8519,1
2019-06-03 01:14:00 UTC,#StephCurry,-0.3412,0.03,0.4019,2
2019-06-03 00:27:00 UTC,Nav Bhatia,0.8256,0.826,0.8256,1
2019-06-03 00:45:00 UTC,Serge Ibaka,-0.6801,-0.68,-0.6801,1
2019-06-03 01:15:00 UTC,Jonas Jerebko,-0.296,-0.295,-0.2942,3
2019-06-03 00:13:00 UTC,#StephCurry,-0.296,-0.296,-0.296,1
2019-06-03 00:50:00 UTC,Nav Bhatia,0.6239,0.679,0.7351,2
